pressure,density
93.41888129494731,4.680060394432887
103.27459576328638,4.772360128017584
107.35186642760465,4.811024650399821
112.00552072166461,4.855100537655537
116.57479037773558,4.8979216444234135
120.89801156160084,4.937579140684027
125.13093227488716,4.975704646553818
129.36929472645525,5.013257624684112
133.07114038449234,5.045873126663404
137.1721942899846,5.081160196003155
141.21176943500717,5.11540721495307
145.2793401521432,5.14942941750017
149.2682565572138,5.1823953854044165
153.2575519741729,5.21498574286448
157.17814532990516,5.24663884097945
161.53075725767306,5.2813611700840735
165.41281024590515,5.312018472091899
169.2792190238128,5.34224135282476
173.68402524721895,5.376285969967848
177.53521492711877,5.4056899817151045
181.78610936607905,5.437722552740214
185.9173840160423,5.46852678575802
190.0333171793026,5.49897285592989
193.71138451308516,5.5258990104192165
197.89037770428564,5.5562054651370065
202.05704348415395,5.5860337246276845
206.43772508649795,5.616957396883686
210.28958422913908,5.643980317248113
214.19565216845163,5.67121991662389
218.76752220014316,5.70277918310099
222.81085753811047,5.730191158278725
226.6584664245319,5.755895948908056
230.29980917850378,5.7803955554313005
235.02012194539776,5.811993829529094
239.24013124952018,5.8393025249509645
242.66331628411794,5.861562111971204
247.1831263518081,5.891270846518821
251.66855532894846,5.9196658317452995
254.76226295618713,5.939031330622504
258.9097758821955,5.96584248222501
263.91452923084745,5.99670701420578
266.6915628526214,6.013859078093463
272.1590449014784,6.048302804132252
275.60885890292536,6.0685292069820544
280.62859730410946,6.099855287676483
285.0859178334506,6.126148232825187
287.14883087986334,6.138520474777358
291.5479818902845,6.164665029981588
295.76965948030534,6.189675654190492
299.9817490632991,6.214308926696381
303.8287222271634,6.236733908450171
308.2968287852415,6.262552847359798
311.9741575248083,6.283626880860221
316.35183252533477,6.308652711490628
320.1644518922334,6.33016658133067
324.6443329857382,6.355446728786513
328.2309817036478,6.375404189671622
332.75205682895125,6.400608385533504
336.4870910948953,6.421152123037461
340.9150939110421,6.445470607529637
344.5776968402854,6.465385230089331
348.94570018202205,6.489106236432645
352.91043158913993,6.510455641479244
357.1995785460997,6.533429091934527
361.05624603951287,6.554004372144027
365.0723355626901,6.5752296216069155
367.98198912378064,6.590594612505611
369.7138769859136,6.599626942794208
373.2849815876688,6.618464243717681
377.48803505577473,6.640320537563806
382.3358387110844,6.665476013768107
388.83164442056557,6.699050602764562
394.4651461341924,6.727480649919042
397.8675436958088,6.744853499064245
401.9118576799399,6.765193248867509
406.0490109275844,6.785982509672299
409.8935492467627,6.805152224714608
414.15232467013965,6.826260969568039
418.3891483209896,6.8472393206989635
422.2491483329823,6.866192292384481
426.4098333424355,6.886445955291093
430.76147831588605,6.907657605820853
434.610133364326,6.926313772789588
438.4791268649078,6.944905767511315
442.5323584784345,6.964193999939084
446.7369305319168,6.984274892296285
452.0698380917924,7.009663897344678
456.0502285376168,7.028259738705346
458.76298459713,7.041091712290784
462.97503739181593,7.060657418870097
466.99475624631077,7.079266992544135
471.2449795013517,7.09887675293936
475.61559677089883,7.1190082496594425
479.9320096894519,7.138860671297034
484.1595811464422,7.158311083849146
488.01249748558575,7.17589588353635
492.4122263692498,7.195786786086841
495.6750635571351,7.210444553943684
499.12446166606816,7.2260401866082145
494.9869790292377,7.20682837058315
